"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Автор / соавтор / предложил тему","Есть видео в
видеотеке"
"2978","Ф","ВОТ ТГУ","Открытый (онлайн)","Онлайн","2020.05","ЭП лишит всех форм избирательного права лиц, осуждённых когда-либо за преступления средней и большей тяжести","501. Конфликтология. Общество насилия.
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
502. Демократия и авторитаризм. Право голоса
503. Идентичность и/или Интеграция
617. Преступники / бывшие заключённые","Волобуев Михаил",""
"2979","Р1","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭП предпочтет мир, в котором ролевыми моделями для социального равенства являются представители научной и политической элиты, а не спортсмены, актеры и другие деятели культуры","601. Ущемляемые
722. Технологии. Наука и эксперименты","Игнатьев Глеб",""
"2980","Р2","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭПСЧ федеральные телеканалы США не должны транслировать гонки NASCAR
* NASCAR - американская гоночная серия, в которой каждая машина или гонка принадлежит одной или нескольким компаниям, выкупающим спонсорские права на эту гонку. Среди спонсоров в 2020 году были Koch Industries - нефтеперерабатывающая компания, спонсирующая крайне консервативных политиков, National Rifle Association - ассоциация владельцев оружия США и университет Liberty, который по мнению СМИ не принимает абитуриентов-представителей ЛГБТ. NASCAR раз в неделю смотрит 4-7 миллионов человек в США.","501. Конфликтология. Давление (самооборона / месть: огнестрел)
601. Ущемляемые","Игнатьев Глеб",""
"2981","Р3","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭП поддерживает введение отрицательных процентных ставок в развитых странах
* Дания с 12 сентября 2019 понизила ставку до -0,75 %
Швейцария с 15 января 2015 понизила ключевую ставку до -0,75 %
Швеция с 20 декабря 2018 года понизила ключевую ставку до -0,25 %
Япония с 29 января 2016 установила ключевую ставку в -0,10 %","405. Макроэкономика. Банки, кредиты, инвестиции","Королёв Пётр",""
"2982","Р4","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭПСЧ спортивные мегасобытия, проводимые в странах БРИКС, приносят больше вреда, чем пользы","403. Управление (государство, частник, НКО)
501. Конфликтология. Влияние (международка)
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
732. Спорт","Сергеева Ирина",""
"2983","Р5","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭПСЧ угнетаемые социальные группы для улучшения своего положения должны подчеркивать свое сходство с доминирующей культурой, а не отличие от неё","503. Идентичность и/или Интеграция
601. Ущемляемые","Сергеева Ирина",""
"2984","ПФ","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭПСЧ праймериз должны проходить в один день
* Праймериз - процесс выдвижения номинанта на пост президента США от двух крупнейших партий. В выборах участвуют все зарегистрированные кандидаты, оставшиеся в гонке до голосования в этом штате. Проходит путём прямых выборов зарегистрированными сторонниками партии или всеми желающими. Каждый штат по итогом голосования распределяет делегатов на партийный съезд. Побеждает в праймериз кандидат, у которого 50%+1 делегат. Сейчас праймериз проходят с февраля по июнь избирательного года в каждом штате по очереди в фиксированном порядке.","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Влияние (выборы)
502. Демократия и авторитаризм..
801. Запад. США","Игнатьев Глеб",""
"2985","Ф","Top Games 2020","Открытый (онлайн)","Онлайн","2020.05","ЭП, как Джон, выберет украсть лекарство
* На Земле появился смертельный вирус. Ученые разработали лекарство, однако, оно в ограниченном доступе. У Джона заболела жена, которой он очень дорожит. Джон знает, что сейчас единственное лекарство в городе находится у фармацевта, который в свою очередь планирует использовать антидот для того, чтобы вылечить свою больную дочь.","302. Эмоции..
302. Эмоции. Эмпатия
303. Привязанность / проект. Семья.","Сергеева Ирина",""
"2986","Р1","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭПСЧ развивающиеся страны должны:
1. Лишить частные школы любых налоговых преференций и возможности получать пожертвования.
2. Введет квоты согласно которым университеты смогут брать выпускников частных школ только в пределах небольших квот.
* Частная школа - негосударственное учебное заведение начального или среднего образования (школа), средства на содержание которого окупаются полностью или частично за счёт платы, взимаемой с учащихся (в отличие от государственных школ, финансируемых из взимаемых с населения налогов). Учредителями частных школ могут выступать как частные лица, так и органы местного самоуправления, религиозные организации, профсоюзы и некоммерческие объединения. В sq сектор регулируется одинакого (частный и государственный).","305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
403. Управление (государство, частник, НКО)
503. Идентичность и/или Интеграция
723. Образование","Лиханов Никита",""
"2987","Р2","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭП поддерживает проект Dunkelfeld (Дункельфельд)
* Педофилия — это расстройство сексуального предпочтения (НЕ является синонимом растления и не всегда приводит к нему), у нас нет общепринятого научного консенсуса о том, почему людей начинают привлекать дети.

Dunkelfeld - немецкий проект, цель которого является предоставлять добровольное, бесплатное и защищенное принципом конфиденциальности лечение педофилии.

Ключевым методом работы Dunkelfeld является обучение людей, испытывающих сексуальное влечение к несовершеннолетним, самоконтролю путём использования групповой когнитивно-поведенческой терапии. Основной принцип программы: никто не виноват в своих сексуальных предпочтениях, но каждый несет ответственность за свое поведение. Программа призывает не осуждать мысли, а осуждать и не допускать действия, которое вредят другим. Эффективность лечения ограничена только информацией предоставляемой самим проектом. Люди, которые пришли в этот проект, могут уйти в любой момент.

В случае если пациент обращается за помощью и у врача появляются подозрения в том, что он уже совершал преступления подобного рода в прошлом, врачи Dunkelfeld не имеют права об этом сообщить властям (В Германии такая практика законная. Главное, чтобы человек не имел действующие судебное преследование).

* В данной теме ЭП - это ""сторонний наблюдатель"" (поддерживает - в контексте ""выступать в чью-то защиту"" ).","613. ЛГБТ+. Педофилия","Дело чести 2015",""
"2988","Р3","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭП сожалеет о создании крупными компаниями бизнес-экосистем
* Бизнес-экосистема — набор собственных или партнерских сервисов, объединенных вокруг одной компании (Например, Alibaba, Яндекс, Google, Apple, Microsoft. и т.п.). Экосистема может быть сосредоточена вокруг одной сферы жизни клиента или проникать сразу в несколько из них.","302. Эмоции..
306. Действие. Иррациональный / несвободный выбор.
402. Конкуренция. Защита (коммерческая тайна, интеллектуальные права, переманивание сотрудников и проч.)
404. Трудовые права.
503. Идентичность и/или Интеграция","Айсина Анна, Павлова Елена",""
"2989","Р4","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭП разрешит детям с тяжелой формой инвалидности которые можно было выявить на этапе беременности, подавать в суд на своих родителей за их рождение
* Пренатальный скрининг - комплекс медицинских исследований, направленный на выявление группы риска по развитию пороков плода во время беременности.*предполагая, что пренатальный скрининг доступен всем **подразумевается, что в случаи ошибки (ошибки очень редкие), если у родителей есть справка, что они это исследование делали, они невиновны","202. Перераспределение.
615. Инвалидность/особенности развития..
713. Дети. Родители и дети
714. Деторождение. Аборт","Лиханов Никита",""
"2990","Р5","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭП предпочтет жить в мире, где доминирует нарратив ""живи сегодняшним днем"", [а не ""живи ради будущего""]","305. Действие. Стимул работать..","Айсина Анна, Павлова Елена",""
"2991","ПФ","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭПСЧ легальным мигрантам и налоговым резидентам должно быть предоставлено активное и пассивное избирательное право","202. Перераспределение.
502. Демократия и авторитаризм. Право голоса
503. Идентичность и/или Интеграция
731. Миграция и демография. Миграция, беженцы, мобильность","Лиханов Никита, Айсина Анна, Павлова Елена",""
"2992","Ф","ОК ДВФУ 2020","Открытый (онлайн)","Онлайн","2020.06","ЭП поддержит десакрализацию войны
* Сакрализация - наделение священным содержанием, наполнение новым смыслом объектов, событий, воспоминаний. Явление характеризуется догматизмом и наделением особого морального авторитета.
В данной теме ЭП - это """"сторонний наблюдатель"""" (поддерживает - в контексте """"выступать в чью-то защиту"""" ). Например, великая отечественная война.
Десакрализация, в рамках темы, - переход от священного и возвышенного в бытовое и реалистичное.","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление (вооружённые силы)
501. Конфликтология. Давление (война)
501. Конфликтология. Общество насилия (маскулинность / милитаризм)","Лиханов Никита, Айсина Анна, Павлова Елена","1"
"2993","Р1","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭПСЧ школьная программа должна подчеркивать моральные проступки и ошибки национальных или общественных героев (Кенесары, Ганди, Мать Тереза)","502. Демократия и авторитаризм..","Какой-то европейский турнир",""
"2994","Р2","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭП предпочтет мир, где все романтические отношения являются по согласию полиаморными
* Полиамория – это практика, допускающая возможность существования множественных любовных отношений у одного человека с несколькими людьми одновременно.","712. Околосемейные отношения. Измена","Какой-то европейский турнир",""
"2995","Р3","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭПСЧ проводить свободные и справедливые местные выборы (например: выборы акимов, выборы в Маслихат) в интересах правящей партии Казахстана","501. Конфликтология. Влияние (выборы)
502. Демократия и авторитаризм..
804. Центральная Азия и/или Закавказье","Джузгенбаев Алишер",""
"2996","Р4","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭП предоставит наивысшим военным чинам (например: генералам армии, адмиралам, маршалам) возможность накладывать вето на военные решения, принятые политикам (например: высадка войск, спецоперации)","501. Конфликтология. Давление (война)
501. Конфликтология. Давление (вооружённые силы)
501. Конфликтология. Общество насилия (маскулинность / милитаризм)
502. Демократия и авторитаризм. Эксперты vs. народ..","Ташкенбаев Мухтар",""
"2997","Р5","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭПСЧ Демократическая Партия США должна имплементировать различные требования ""Кампании по снижению бюджета полиции"" в подконтрольных ей городах, а также поддержать эти требования на национальном уровне
* Полицейские департаменты в больших городах США в среднем требуют от 25 до 60% общегородского бюджета. В последние года, данный бюджет повысился в некоторых городах еще больше ввиду требуемых ресурсов для реформы полиции (камеры на полицейских, тренинги по де-эскалации, и т.д).
""Кампания по снижению бюджета полиции"" требует перераспределение городского бюджета, в том числе путём снижения количества вооруженного полицейского персонала, военного и полу-военного оборудования и снижения числа полицейских патрулей. Данный бюджет будет направлен на инвестирование в альтернативные сервисы и ресурсы, такие как сервисы по психологической помощи, программы по предоставлению доступного жилья и т.д.","305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
501. Конфликтология. Давление..
614. Расизм
801. Запад. США","Джузгенбаев Алишер",""
"2998","Фмк","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭП не будет запускать симуляцию
* Вы - команда ученых, которая создала симуляционную модель, способную имитировать реальную жизнь для существ внутри неё. Данная модель работает по таким же принципам и законам физикам, как и вселенная, в которой мы обитаем. После того, как модель будет запущена, вы утеряете над ней контроль, и ее внутренние процессы будут контролироваться естественными процессами.","619. Другие группы
722. Технологии. Роботы, ИИ","Ташкенбаев Мухтар",""
"2999","ЧФ","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭП заменит пособия по безработице гарантированно предоставленной государством работой","305. Действие. Стимул работать..
401. Неравенство и бедность (безусловный базовый доход)
404. Трудовые права.","Айбасова Айгерим, Ташкенбаев Мухтар, Джузгенбаев Алишер",""
"3000","ПФ","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭП предпочтёт мир, где все люди говорят на новоязе
* Новояз - это исскуственный язык, используемый тоталитарными государствами в романе ""1984"". Новояз был сконструирован таким образом, чтобы его словами легко можно было выразить дозволенные идеологией значения, но нельзя ни прямо, ни косвенно высказать все остальные. Для этого из него исключались слова, имеющие нежелательные значения, а те из них, которые сохранялись, были очищены от всех «лишних» значений. Оруэллом приводится следующий пример: Слово «свободный» в новоязе осталось, но его можно было использовать лишь в таких высказываниях, как «свободные сапоги», «туалет свободен». Оно не употреблялось в старом значении «политически свободный», «интеллектуально свободный», поскольку свобода мысли и политическая свобода не существовали даже как понятия, а следовательно, не требовали обозначений.

Новояз в рамках этих дебатов - это язык, очищенный от слов и выражений, которые могут указывать на факторы, не зависящие от самих людей, например, убирающий такие слова как ""красивый"" и ""уродливый"", определения этничностей, пола. Необходимой технической терминологии, например, названиям органов и прочих физиологических факторов, будут обучать лишь специалистов.","503. Идентичность и/или Интеграция
601. Ущемляемые
602. Право на нетерпимость (свобода слова)","Ташкенбаев Мухтар","1"
"3001","Ф","Небо Кочевника","Открытый (онлайн)","Онлайн","2020.06","ЭП покинет Омелас
* Омелас - мерцающий город невероятного счастья и восторга посреди самой обычной страны. Благополучие города Омелас каким-то мистическим образом оказалось связано с жизнью некоего ребёнка, влачащего существование в полном одиночестве темного подвала в вечной грязи, тьме и страданиях. Место это ограждено огромным замком, охраняемым, как ни одно другое место в городе. Ни попытаться изменить жизнь этого ребёнка, ни даже просто подойти к нему с ласковым словом утешения ни один житель городка не смеет — иначе счастье для всего городка закончится. Причём все жители знают об этом ребёнке. Большинство продолжает наслаждаться жизнью, хотя воспоминания о несчастном отравляют их бытие. Они находят причины смириться с этим порядком вещей. Но есть и те, кто находит в себе силы отвергнуть его — они и есть те, кто покидает Омелас.","201. Утилитаризм, вуаль незнания
302. Эмоции. Эмпатия","Айбасова Айгерим","1"
"3002","Р1","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭПСЧ sci-hub приносит больше вреда чем пользы
* Sci-hub - пиратский интернет-ресурс, представляющий бесплатный доступ к текстам научных работ (в том числе ученых топовых университетов, публикующихся в платных научных журналах) всем желающим","723. Образование","Лапатин Илья (взята с др. турнира)",""
"3003","Р2","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭП поддерживает рост количества шоу и сериалов, которые фокусируются на маргинальном образе жизни в странах СНГ (реальные пацаны, карапайым кайрат, дорогая мы убиваем детей)","301. Вера. Формирование убеждений
304. Привыкание VS. возбуждение / накопление
306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление..
503. Идентичность и/или Интеграция
617. Преступники / бывшие заключённые
733. Развлечения. Искусство и культура","Касымов Амирлан",""
"3004","Р3","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭПСЧ субсидии сельского хозяйства в развитых странах приносят больше вреда, чем пользы","305. Действие. Стимул работать..
402. Конкуренция. Протекционизм (+ ТНК)
403. Управление (государство, частник, НКО)
408. Рынок продовольствия","Касьяненко Андрей",""
"3005","Р4","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭП откажется от принципа независимости Центрального Банка
* Центральный банк является: - эмиссионным центром страны, т. е. пользуется монопольным правом на выпуск банкнот; - банком банков, т. е. совершает операции не с торгово-промышленной клиентурой, а с банками данной страны: хранит их кассовые резервы, размер которых устанавливается законом, предоставляет им кредиты (кредитор последней инстанции), осуществляет надзор, поддерживая необходимый уровень стандартизации и профессионализма в национальной кредитной системе, выдает банкам лицензии. - банкиром правительства, для этого он должен поддерживать государственные экономические программы и размещать государственные ценные бумаги; предоставлять кредиты и выполнять расчетные операции для правительства, хранить (официальные) золотовалютные резервы; - органом регулирования экономики денежно-кредитными методами. Независимость центральных банков: - политикам запрещается влиять на денежно-кредитную политику - центральный банк самостоятельно определяет цели своей политики (как правило — или стабилизация цен или стимулирование экономики) - центральный банк самостоятельно определяет лучший способ достижения своих целей и сроки их достижения - центральные банки наделяются полной автономией относительно своего бюджета - банк имеет широкую самостоятельность в сфере кадровых назначений","405. Макроэкономика. Кризис
406. Валюта (обменный курс)
502. Демократия и авторитаризм. Эксперты vs. народ..","Касьяненко Андрей",""
"3006","Р5","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭП как левые либеральные СМИ США выступит против погромов во время протестов","501. Конфликтология. Давление..
614. Расизм
721. Информационная сфера. СМИ и свобода слова","Касымов Амирлан",""
"3007","ПФ","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭП сожалеет о распаде блока Кахоль Лаван
* Кахоль Лаван - коалиция партий левых взглядов в Израиле, сформированная в 2019 году, под предводительством Бенни Ганца. Одной из целей создания было смещение Нетаньяху с поста премьер-министра и прекращение его повестки. Коалиция в том числе обещала сотрудничество с арабским меньшинством Израиля ( партия «Арабский список») и была за мир с Палестиной. Весной 2020 года Бенни Ганц пошёл на сотрудничество с правящей партией. Ему были обещаны полномочия министра иностранных дел, а также по истечении времени пост премьер министра на 1.5 года, вследствие чего коалиция распалась, а название осталось у Ганца.","501. Конфликтология. Влияние (выборы)
501. Конфликтология. Давление..
806. Большой Ближний Восток. Израиль и/или Палестина","Касымов Амирлан",""
"3008","Ф","Летний онлайн-турнир 2020","Открытый (онлайн)","Онлайн","2020.07","ЭПСЧ дальнейшая интеграция с Россией принесет народу Беларуси больше вреда, чем пользы
* В данный момент в Беларуси проходит президентская предвыборная кампания, по данным независимых экспертов рейтинг президента Александра Лукашенко на крайне низком уровне, в стране массовые протесты, а главные конкуренты не допущены до выборов. В данный момент Беларусь входит в Таможенный Союз и имеет с Россией общее таможенное пространство и стандарты качества товаров.
В этой теме под дальнейшей интеграцией понимается создание общего бюджета и налоговой системы, общей валюты и передача федеральным органам власти таких функций как:
- установление системы органов государственной власти и их полномочий
- внешняя политика, - внешнеэкономические отношения - финансовое, кредитное, торговое и иное экономическое регулирование
- социальная политика
- культурная и национальная политика","402. Конкуренция..
402. Конкуренция. Протекционизм (+ ТНК)
501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
803. Запад б. СССР. Беларусь","Лапатин Илья",""
"3009","Р1","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭП сожалеет о культе жертв в современном мире
* Культ жертв – поощрение выявления негативного влияния на себя системой дискриминации и придание жертве дискриминации особого морального авторитета","302. Эмоции..
305. Действие. Стимул работать..
503. Идентичность и/или Интеграция
601. Ущемляемые","Николаев Даниил, Колташев Павел, Акулов Евгений",""
"3010","Р2","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭПСЧ развивающиеся страны должны предпочесть технократическое управление демократическому
* Технократия —общество, в котором власть значительно распределена в пользу людей, имеющих специальные знания и опыт в управляемой сфере.","401. Неравенство и/или экономический рост
502. Демократия и авторитаризм. Эксперты vs. народ..","Акулов Евгений","1"
"3011","Р3","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭП существенно ограничит распространение психотропных препаратов даже в случаях отсутствия зависимости от них
* Под психотропными препаратами подразумеваются:
- антидепрессанты;
- препараты от тревожности, чувства страха и нарушения сна;
- препараты от СДВГ (синдрома дефицита внимания и гиперактивности)","305. Действие. Стимул работать..
503. Идентичность и/или Интеграция
615. Инвалидность/особенности развития. Ментальные особенности
724. Медицина. Фармакология","Николаев Даниил","1"
"3012","Р4","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭПСЧ необходимо создать министерство финансов Евросоюза
* Министерство финансов ЕС - проект, предполагающий создание наднационального, централизованного бюджетного органа и общего бюджета всех стран ЕС","501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
801. Запад. Европа и/или ЕС.","Финал ОК МГЮА 2018",""
"3013","Р5","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭП поддерживает создание отдельного государства на территории США для чернокожих, создание которого поддерживается правительством","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
503. Идентичность и/или Интеграция
614. Расизм
801. Запад. США","Раунд Робин 2017 (вроде)",""
"3014","ПФ","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭП как Католическая Церковь должна способствовать формированию боевых христианских организаций в регионах, где преследуют христиан","501. Конфликтология. Влияние.
501. Конфликтология. Давление (война)
725. Религия. Христианство
806. Большой Ближний Восток..","Николаев Даниил",""
"3015","Ф","МДТ ""Come Together""","Открытый (онлайн)","Онлайн","2020.07","ЭП сожалеет о создании корпорациями экосистем для своих сотрудников
* Если ты работаешь в Google, няня, нанятая твоей компанией, отводит твоего ребенка в школу, специально созданную твоей компанией, пока бариста делает тебе кофе в офисе","302. Эмоции..
306. Действие. Иррациональный / несвободный выбор.
402. Конкуренция. Защита (коммерческая тайна, интеллектуальные права, переманивание сотрудников и проч.)
404. Трудовые права.
503. Идентичность и/или Интеграция","Николаев Даниил, Колташев Павел","1"
"3016","Р1","Summer Ural Cup","Открытый (онлайн)","Онлайн","2020.08","ЭП в лице Казахстана предпочтет прозападный вектор сотрудничества пророссийскому","501. Конфликтология. Влияние.
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
802. Россия. Внешняя политика
804. Центральная Азия и/или Закавказье","Дружинин Михаил",""
"3017","Р2","Summer Ural Cup","Открытый (онлайн)","Онлайн","2020.08","ЭП осудит действия Blizzard
* В начале октября во время турнира Hearthstone Grand-masters участник из Гонконга Чун Нг Вай,выступающий под ником blitzchung, выкрикнул «Свободу Гонконгу, это революция нашего времени!».
В ответ Blizzard обвинили игрока в нарушении правил турнира, отметив, что соревнования - не место для политических заявлений. Разработчик лишил игрока всех призовых, заработанных на турнире, и отстранил от соревнований на год. По заявлению самого геймера, сумма призовых должна была составлять 10000$.
Вдобавок Blizzard уволили комментаторов турнира, которые взяли интервью у геймера
Интернет-сообщество отреагировало незамедлительно, обвинив Blizzard в потакании китайскому правительству. Геймеры заявили об отказе играть в World of Warcraft и Hearthstone, а в геймерских сообществах звучали многочисленные слова поддержки Вай Чуна.","501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
502. Демократия и авторитаризм..
805. Восточная Азия (АТР). Китай","С другого турнира",""
"3018","Р3","Summer Ural Cup","Открытый (онлайн)","Онлайн","2020.08","ЭП поддержит введение системы коллективной ответственности в школах
* Коллективная ответственность - это общие поощрения и общие наказания в случае проблем с успеваемостью или дисциплиной хотя бы одного ребёнка","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
503. Идентичность и/или Интеграция
723. Образование","Juventas 2020",""
"3019","Р4","Summer Ural Cup","Открытый (онлайн)","Онлайн","2020.08","ЭПСЧ волонтеры-гуманисты приносят больше вреда, чем пользы
* Волонтер-гуманист - это тот, кто активно участвует в поддержании благосостояния людей и продвижении социальных реформ путём предоставления жилья и продовольствия для бездомных и беженцев, помощи людям после стихийных бедствий или гражданских беспорядков, строительства школ, колодцев и других сооружений в различных регионах мира. Цель волонтера-гуманиста спасать жизни, облегчать страдания и поддерживать человеческое достоинство.","305. Действие. Стимул работать..
503. Идентичность и/или Интеграция
601. Ущемляемые","Балташова Александра",""
